City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,kidal,18.4411,1.4078,305.03,26,87,2.9,ML,1684120611
201,willowmore,-33.2926,23.4895,279.62,92,2,1.58,ZA,1684120611
202,ancud,-41.8697,-73.8203,285.41,85,33,5.36,CL,1684120611
203,kirkuk,35.4681,44.3922,292.31,34,1,1.47,IQ,1684120611
204,skibbereen,51.55,-9.2667,280.43,83,11,3.23,IE,1684120458
205,jishou,28.3167,109.7167,299.41,59,100,1.45,CN,1684120611
206,herat,34.5,62.0,294.52,28,100,5.36,AF,1684120611
207,salalah,17.0151,54.0924,303.2,74,40,1.54,OM,1684120611
208,jacqueville,5.2052,-4.4146,300.19,85,97,5.06,CI,1684120611
209,tamandare,-8.7597,-35.1047,298.76,82,62,2.81,BR,1684120611
210,beloha,-25.1667,45.05,293.04,94,39,1.87,MG,1684120611
211,diu,20.7141,70.9822,302.89,74,16,5.76,IN,1684120612
212,kargasok,59.0556,80.8572,275.72,41,100,3.42,RU,1684120612
213,xapuri,-10.6517,-68.5044,295.18,85,9,1.06,BR,1684120612
214,bereda,43.2686,-7.5406,285.05,100,99,0.8,ES,1684120612
215,zhigansk,66.7697,123.3711,276.49,67,100,5.14,RU,1684120612
216,antalaha,-14.9003,50.2788,295.17,84,12,2.01,MG,1684120612
217,jardim,-21.4803,-56.1381,288.04,81,0,1.51,BR,1684120612
218,taonan,45.3333,122.7833,292.51,15,100,4.82,CN,1684120612
219,east london,-33.0153,27.9116,285.67,87,0,4.12,ZA,1684120612
220,almeirim,-1.5233,-52.5817,297.16,94,59,1.12,BR,1684120612
221,mecca,21.4267,39.8261,301.84,40,3,1.7,SA,1684120502
222,kamiiso,41.8167,140.65,290.36,77,75,5.14,JP,1684120612
223,san diego,32.7153,-117.1573,291.5,86,100,2.06,US,1684120502
224,aykino,62.2248,49.9922,281.58,61,89,1.83,RU,1684120612
225,klaksvik,62.2266,-6.589,279.66,72,44,10.52,FO,1684120612
226,half moon bay,37.4636,-122.4286,293.1,82,100,4.12,US,1684120612
227,kulhudhuffushi,6.6221,73.07,301.12,76,100,4.41,MV,1684120612
228,ust-kulom,61.6864,53.6902,281.23,59,87,1.95,RU,1684120613
229,henties bay,-22.116,14.2845,286.9,86,0,2.08,NA,1684120613
230,guerrero negro,27.9769,-114.0611,288.97,82,0,6.43,MX,1684120613
231,atwater,37.3477,-120.6091,300.16,45,0,5.14,US,1684120613
232,eyl,7.9803,49.8164,300.64,75,100,5.43,SO,1684120613
233,nioro,13.35,-15.75,297.85,58,83,3.43,GM,1684120613
234,sistranda,63.7256,8.834,282.13,88,40,5.26,NO,1684120613
235,kavieng,-2.5744,150.7967,302.38,72,58,1.95,PG,1684120613
236,talaya,61.3833,152.75,274.69,48,64,1.37,RU,1684120613
237,ilulissat,69.2167,-51.1,270.16,59,82,1.54,GL,1684120613
238,petropavlovskoye,52.0712,84.107,282.15,69,100,4.3,RU,1684120613
239,mariel,22.9875,-82.7536,297.23,79,0,4.93,CU,1684120613
240,rantepao,-2.9701,119.8978,300.83,60,76,1.69,ID,1684120613
241,aklavik,68.2191,-135.0107,289.6,58,8,3.46,CA,1684120614
242,vega de alatorre,20.0333,-96.6333,298.61,84,99,1.83,MX,1684120386
243,tyukalinsk,55.8732,72.1967,282.64,60,22,5.42,RU,1684120614
244,coihaique,-45.5752,-72.0662,281.12,100,40,3.09,CL,1684120476
245,mangla,31.8931,72.3817,306.6,19,0,2.51,PK,1684120614
246,jacareacanga,-6.2222,-57.7528,296.58,96,73,0.75,BR,1684120614
247,constitucion,-35.3333,-72.4167,287.77,89,100,5.33,CL,1684120614
248,bombay,19.0144,72.8479,304.14,74,40,3.09,IN,1684120467
249,caravelas,-17.7125,-39.2481,295.98,88,0,1.82,BR,1684120614
250,san matias,-16.3667,-58.4,293.34,72,56,0.51,BO,1684120614
251,kruisfontein,-34.0033,24.7314,282.53,82,53,0.76,ZA,1684120614
252,forio,40.7342,13.8646,287.88,75,100,3.79,IT,1684120614
253,lompoc,34.6391,-120.4579,291.92,87,100,1.79,US,1684120614
254,kpandu,6.9954,0.2931,296.92,93,100,2.34,GH,1684120614
255,batagay-alyta,67.8006,130.4114,274.5,77,95,2.72,RU,1684120614
256,moundsville,39.9203,-80.7431,290.12,65,100,2.81,US,1684120614
257,ahuimanu,21.4447,-157.8378,298.99,72,100,8.75,US,1684120615
258,sungaipenuh,-2.0833,101.3833,299.52,63,82,1.56,ID,1684120615
259,gizo,-8.103,156.8419,302.16,76,60,0.66,SB,1684120615
260,hasaki,35.7333,140.8333,293.83,62,98,5.12,JP,1684120615
261,yar-sale,66.8333,70.8333,274.59,88,98,6.77,RU,1684120615
262,goure,13.9835,10.2704,302.12,15,55,3.08,NE,1684120615
263,itaituba,-4.2761,-55.9836,296.76,99,100,0.54,BR,1684120615
264,orihuela,38.0848,-0.944,290.41,65,0,2.68,ES,1684120615
